journal,year,cites,title,au1,au2,au3,female1,female2,female3,page,order,nauthor,past5,aflpn90,spage,field,subfld,aulpn90,aulpn80,aulpn70,lcites
"American-Economic-Review",1993,31,"Jeux Sans Frontieres:  Tax Competition and Tax Coordination When Countries  Diffe","Kanbur,-Ravi","Keen,-Michael","",0,0,,16,10,2,0,7.416667,877,10,1,.5,0,0,3.433987
"American-Economic-Review",1993,4,"Changes in Economic Instability in 19th-Century America","James,-John-A.","","",0,,,22,2,1,0,11.5,710,9,1,1,0,1,1.386294
"American-Economic-Review",1993,28,"Factor Shares and Savings in Endogenous Growth","Bertola,-Giuseppe","","",0,,,15,7,1,1,62.58333,1184,5,2,3.5,0,0,3.332205
"American-Economic-Review",1993,10,"Strategic Discipline in Monetary Policy with Private Information:  Optimal  Targe","Garfinkel,-Michelle-R.","Oh,-Seonghwan","",1,0,,19,7,2,.75,19.91667,99,5,1,1.75,0,0,2.302585
"American-Economic-Review",1993,5,"Will Affirmative-Action Policies Eliminate Negative Stereotypes?","Coate,-Stephen","Loury,-Glenn-C.","",0,0,,21,10,2,.25,42.41666,1220,8,1,2.916667,.6666667,1,1.609438
"American-Economic-Review",1993,21,"Mergers and Market Power:  Evidence from the Airline Industry","Kim,-E.-Han","Singal,-Vijay","",0,0,,21,13,2,0,16.58333,549,3,1,.5,0,0,3.044523
"American-Economic-Review",1993,45,"A Search-Theoretic Approach to Monetary Economics","Kiyotaki,-Nobuhiro","Wright,-Randall","",0,0,,15,5,2,1.666667,13.66667,63,5,1,1.833333,1.75,0,3.806663
"American-Economic-Review",1993,13,"An Experimental Test of the Public-Goods Crowding-Out Hypothesis","Andreoni,-James","","",0,,,11,15,1,1,22.66667,1317,1,1,3,1,0,2.564949
"American-Economic-Review",1993,5,"A General Experiment on Bargaining in Demand Games with Outside Options","Kahn,-Lawrence-M.","Munighan,-J.-Keith","",0,0,,21,12,2,0,11.58333,1260,1,1,.75,0,0,1.609438
"American-Economic-Review",1993,2,"Nominal-Contracting Theories of Unemployment:  Evidence from Panel Data","Keane,-Michael-P.","","",0,,,21,13,1,.8333334,22.66667,932,11,1,3,.3333333,0,.6931472
"American-Economic-Review",1993,6,"Is There a Peso Problem?  Evidence from the Dollar/Pound Exchange Rate,  1976-198","Kaminsky,-Graciela-L.","","",1,,,23,8,1,0,30.75,450,6,2,1,0,0,1.791759
"American-Economic-Review",1993,5,"Stock Options and the Strategic Use of Managerial Incentives","Reitman,-David","","",0,,,12,11,1,0,11,513,4,2,1,0,0,1.609438
"American-Economic-Review",1993,51,"What Do We Learn About Consumer Demand Patterns from Micro Data?","Blundell,-Richard-W.","Pashardes,-Panos","Weber,-Guglielmo",0,0,0,28,14,3,.1666667,4,570,17,1,1.111111,.5,0,3.931826
"American-Economic-Review",1993,15,"Economic Policy, Economic Performance, and Elections","Harrington,-Joseph-E., Jr.","","",0,,,16,3,1,0,7.333333,27,2,4,2,0,0,2.70805
"American-Economic-Review",1993,16,"Large-Scale Privatization in Transition Economies","Laban,-Raul","Wolf,-Holger-C.","",0,0,,12,8,2,0,13.41667,1199,7,1,.5,0,0,2.772589
"American-Economic-Review",1993,8,"The Development of Nominal Wage Rigidity in the Late 19th Century","Hanes,-Christopher","","",0,,,25,3,1,0,58.33333,732,9,1,1,0,0,2.079442
"American-Economic-Review",1993,7,"Low Investment and Large LDC Debt in the 1980's","Cohen,-Daniel","","",0,,,13,7,1,.5,1.333333,437,6,2,1,.5,0,1.94591
"American-Economic-Review",1993,4,"Entry, Dumping, and Shakeout","Clarida,-Richard-H.","","",0,,,23,12,1,1,32.16667,180,6,1,2,0,0,1.386294
"American-Economic-Review",1993,1,"The Relative Pricing of High-Yield Debt:  The Case of RJR Nabisco Holdings  Capit","Dammon,-Robert-M.","Dunn,-Kenneth-B.","Spatt,-Chester-S.",0,0,0,22,2,3,0,6.444444,1090,4,1,.3333333,.1666667,0,0
"American-Economic-Review",1993,5,"The Economics of Rotating Savings and Credit Associations","Besley,-Timothy","Coate,-Stephen","Loury,-Glenn-C.",0,0,0,19,6,3,.3333333,49.13889,792,4,2,3.611111,.4444444,.6666667,1.609438
"American-Economic-Review",1993,42,"Investments, Holdup, and the Form of Market Contracts","MacLeod,-W.-Bentley","Malcomson,-James-M.","",0,0,,27,7,2,1.416667,7.583333,811,2,1,.6666667,3.5,.25,3.73767
"American-Economic-Review",1993,16,"Long-Run Neutrality and Superneutrality in an ARIMA Framework","Fisher,-Mark-E.","Seater,-John-J.","",0,0,,14,5,2,0,15.41667,402,12,2,.5,.25,0,2.772589
"American-Economic-Review",1993,16,"Why Capital Hires Labor:  A Bargaining Perspective","Dow,-Gregory-K.","","",0,,,17,8,1,0,1.833333,118,3,1,1.5,0,0,2.772589
"American-Economic-Review",1993,7,"Efficiency and the Role of Default When Security Markets Are Incomplete","Zame,-William-R.","","",0,,,23,5,1,1,7.333333,1142,2,10,3,2,0,1.94591
"American-Economic-Review",1993,15,"Promotion, Turnover, and Preemptive Wage Offers","Bernhardt,-Dan","Scoones,-David","",0,0,,21,5,2,.75,7.5,771,11,1,1.25,.5,0,2.70805
"American-Economic-Review",1993,24,"Rational Asset-Price Movements without News","Romer,-David-H.","","",0,,,19,3,1,2.333333,34.66667,1112,4,1,3.333333,3.333333,0,3.178054
"American-Economic-Review",1993,17,"Trigger Points and Budget Cuts:  Explaining the Effects of Fiscal Austerity","Bertola,-Giuseppe","Drazen,-Allan","",0,0,,16,2,2,1.5,37.75,11,10,1,3.25,1.5,.5,2.833213
"American-Economic-Review",1993,11,"Auctions versus Posted-Price Selling","Wang,-Ruqu","","",0,,,14,8,1,0,7.5,838,2,6,1,0,0,2.397895
"American-Economic-Review",1993,5,"Working in the Market, Working at Home, and the Acquisition of Skills:  A  Genera","Rios-Rull,-Jose-Victor","","",0,,,15,11,1,0,58.33333,893,11,1,2.5,0,0,1.609438
"American-Economic-Review",1993,54,"International Comparisons of Price-to-Market Behavior","Knetter,-Michael-M.","","",0,,,14,9,1,1,5.833333,473,3,1,1,1,0,3.988984
"American-Economic-Review",1993,7,"Union Organizing Activity, Firm Growth, and the Business Cycle","Bronars,-Stephen-G.","Deere,-Donald-R.","",0,0,,18,13,2,1.25,12.5,203,11,1,1.25,1.25,0,1.94591
"American-Economic-Review",1993,7,"Advance-Purchase Discounts and Monopoly Allocation of Capacity","Gale,-Ian-L.","Holmes,-Thomas-J.","",0,0,,12,9,2,.25,22.66667,135,3,1,1.25,0,0,1.94591
"American-Economic-Review",1993,55,"Earnings Losses of Displaced Workers","Jacobson,-Louis-S.","LaLonde,-Robert-J.","Sullivan,-Daniel-G.",0,0,0,25,1,3,.1666667,31.63889,685,11,1,.5,.5,0,4.007333
"American-Economic-Review",1993,26,"Government Revenue from Financial Repression","Giovannini,-Alberto","de-Melo,-Martha","",0,1,,11,14,2,.25,21.25,953,4,2,.75,0,0,3.258096
"American-Economic-Review",1993,15,"Paternalism in Agricultural Labor Contracts in the  U.S. South: Implications  for","Alston,-Lee-J.","Ferrie,-Joseph-P.","",0,0,,25,9,2,0,46.25,852,9,1,.5,.6666667,0,2.70805
"American-Economic-Review",1993,31,"International Business Cycles","Ahmed,-Shaghil","","",0,,,25,2,4,0,11.33333,335,5,1,.25,0,0,3.433987
"American-Economic-Review",1993,81,"Explaining Saving-Investment Correlations","Baxter,-Marianne","Crucini,-Mario-J.","",1,0,,21,6,2,.5,19.29167,416,5,2,1.5,0,0,4.394449
"American-Economic-Review",1993,4,"The Macroeconomics of Dr. Strangelove","John,-A.-Andrew","Pecchenino,-Rowena-A.","Schreft,-Stacey-L.",0,1,1,20,4,3,.1666667,5.833333,43,10,1,.3333333,0,0,1.386294
"American-Economic-Review",1993,11,"Production and Inventory Control at the General Motors Corporation during  the 19","Kashyap,-Anil-K.","Wilcox,-David-W.","",0,0,,19,4,2,1.416667,60.20833,383,3,1,2.75,.5,0,2.397895
"American-Economic-Review",1993,12,"Fairness, Markets, and Ability to Pay:  Evidence from Compensation  Executives","Levine,-David-I.","","",0,,,19,11,1,0,34.66667,1241,11,1,1.333333,1,0,2.484907
"American-Economic-Review",1993,19,"The Aggregate Implications of Machine Replacement:  Theory and Evidence","Cooper,-Russell","Haltiwanger,-John-C.","",0,0,,23,3,2,3.5,19.70833,360,3,1,2.958333,2.416667,0,2.944439
"American-Economic-Review",1993,12,"Capital Structure as a Bargaining Tool:  The Role of Leverage in Contract  Renego","Perotti,-Enrico-C.","Spier,-Kathryn-E.","",0,1,,11,4,2,.5,64.66667,1131,3,1,1.5,0,0,2.484907
"American-Economic-Review",1993,10,"Forward Induction in the Battle-of-the-Sexes Games","Cooper,-Russell","","",0,,,14,14,4,5.5,26.5,1303,2,5,3.583333,3.5,0,2.302585
"American-Economic-Review",1993,57,"Monetary Policy and Credit Conditions:  Evidence from the Composition of  Externa","Kashyap,-Anil-K.","Stein,-Jeremy-C.","Wilcox,-David-W.",0,0,0,21,6,3,2.277778,72.38889,78,4,1,3.333333,1.666667,0,4.043051
"American-Economic-Review",1993,29,"Transitional Dynamics and Economic Growth in the Neoclassical Model","King,-Robert-G.","Rebelo,-Sergio-T.","",0,0,,24,12,2,1,19.54167,908,5,2,2.041667,1,0,3.367296
"American-Economic-Review",1993,9,"Art as an Investment:  The Market for Modern Prints","Pesando,-James-E.","","",0,,,15,1,1,0,24.5,1075,4,1,1,0,2,2.197225
"American-Economic-Review",1993,17,"Reputation and Discretion in Financial Contracting","Boot,-Arnoud-W.-A.","Greenbaum,-Stuart-I.","Thakor,-Anjan-V.",0,0,0,19,6,3,0,32.44444,1165,5,1,.3333333,.1666667,0,2.833213
"American-Economic-Review",1993,23,"Leapfrogging in International Competition:  A Theory of Cycles in National  Techn","Brezis,-Elise-S.","Krugman,-Paul-R.","Tsiddon,-Daniel",1,0,0,9,9,3,1.333333,35.63889,1211,6,2,2.333333,.9444444,.3333333,3.135494
"American-Economic-Review",1993,42,"Contract Enforceability and Economic Institutions in Early Trade: the  Maghribi T","Greif,-Avner","","",0,,,24,12,1,0,61.08333,525,9,1,2.333333,0,0,3.73767
"American-Economic-Review",1993,68,"Incorporating Fairness into Game Theory and Economics","Rabin,-Matthew","","",0,,,22,13,1,0,34.66667,1281,2,5,1,0,0,4.219508
"American-Economic-Review",1993,11,"Yes Men.","Prendergast,-Canice","","",0,,,14,4,1,0,93.25,757,11,1,2,0,0,2.397895
"American-Economic-Review",1993,22,"Seniority and Monopsony in the Academic Labor Market","Ransom,-Michael-R.","","",0,,,13,14,1,0,2,221,11,1,1,0,.5,3.091043
"American-Economic-Review",1993,12,"Auctions with Endogenous Valuations:  The Persistence of Monopoly Revisited","Krishna,-Kala","","",1,,,14,10,1,.5,2,147,3,1,1,.5,0,2.484907
"American-Economic-Review",1993,20,"Intertemporal Asset Pricing without Consumption Data","Campbell,-John-Y.","","",0,,,26,10,1,.5,62.58333,487,4,1,2.833333,3.5,0,2.995732
